Game no,Home,Away,home_win,draw,away_win,home_score,away_score
1,Amazulu,Baroka,0.5286115, 0.27295349999999996, 0.198435 ,1,0
2,Amazulu,Bidvest Wits,0.3672075, 0.24885049999999997, 0.383942 ,1,2
3,Amazulu,Black Leopards,0.488597, 0.27021300000000004, 0.24119 ,1,0
4,Amazulu,Bloem Celtic,0.4275, 0.2622985, 0.3102015 ,1,0
5,Amazulu,Cape Town City,0.4040355, 0.2580705, 0.337894 ,1,0
6,Amazulu,Chippa Utd.,0.5079145, 0.27155799999999997, 0.2205275 ,2,0
7,Amazulu,Free State Stars,0.5354225, 0.2727545, 0.191823 ,1,0
8,Amazulu,Golden Arrows,0.5070995, 0.27191049999999994, 0.22099 ,1,0
9,Amazulu,Highlands,0.4861205, 0.270517, 0.2433625 ,1,0
10,Amazulu,Kaizer Chiefs,0.366989, 0.24894149999999998, 0.3840695 ,1,2
11,Amazulu,Mamelodi Sundowns,0.3576125, 0.246774, 0.3956135 ,1,2
12,Amazulu,Maritzburg Utd,0.6481475, 0.266385, 0.0854675 ,2,0
13,Amazulu,Orlando Pirates,0.40918, 0.259423, 0.331397 ,2,1
14,Amazulu,Polokwane,0.423855, 0.2618605, 0.3142845 ,2,1
15,Amazulu,Supersport Utd,0.528873, 0.27289749999999996, 0.1982295 ,1,0
16,Baroka,Amazulu,0.2835395, 0.34361649999999994, 0.372844 ,1,2
17,Baroka,Bidvest Wits,0.1930715, 0.2676799999999999, 0.5392485 ,1,2
18,Baroka,Black Leopards,0.282853, 0.344361, 0.372786 ,0,2
19,Baroka,Bloem Celtic,0.2360115, 0.30696549999999995, 0.457023 ,0,2
20,Baroka,Cape Town City,0.219244, 0.2921135, 0.4886425 ,0,2
21,Baroka,Chippa Utd.,0.2983775, 0.35500750000000003, 0.346615 ,0,0
22,Baroka,Free State Stars,0.321056, 0.371509, 0.307435 ,0,0
23,Baroka,Golden Arrows,0.2985715, 0.355694, 0.3457345 ,0,0
24,Baroka,Highlands,0.281775, 0.342822, 0.375403 ,0,0
25,Baroka,Kaizer Chiefs,0.193387, 0.2666875000000001, 0.5399255 ,0,1
26,Baroka,Mamelodi Sundowns,0.1868385, 0.26168349999999996, 0.551478 ,0,1
27,Baroka,Maritzburg Utd,0.4207725, 0.4285375, 0.15069 ,0,0
28,Baroka,Orlando Pirates,0.222877, 0.295346, 0.481777 ,0,1
29,Baroka,Polokwane,0.2339455, 0.3043335, 0.461721 ,0,1
30,Baroka,Supersport Utd,0.3167445, 0.36708050000000003, 0.316175 ,0,0
31,Bidvest Wits,Amazulu,0.4649745, 0.27990999999999994, 0.2551155 ,1,0
32,Bidvest Wits,Baroka,0.5057215, 0.28344499999999995, 0.2108335 ,1,0
33,Bidvest Wits,Black Leopards,0.4652435, 0.2799615000000001, 0.254795 ,1,0
34,Bidvest Wits,Bloem Celtic,0.4049505, 0.269146, 0.3259035 ,2,1
35,Bidvest Wits,Cape Town City,0.3825405, 0.26367150000000006, 0.353788 ,1,0
36,Bidvest Wits,Chippa Utd.,0.48415, 0.2815279999999999, 0.234322 ,1,0
37,Bidvest Wits,Free State Stars,0.5113155, 0.2847665, 0.203918 ,1,0
38,Bidvest Wits,Golden Arrows,0.4842285, 0.28197300000000003, 0.2337985 ,1,0
39,Bidvest Wits,Highlands,0.4636665, 0.2795355, 0.256798 ,1,0
40,Bidvest Wits,Kaizer Chiefs,0.346303, 0.252488, 0.401209 ,1,2
41,Bidvest Wits,Mamelodi Sundowns,0.3373845, 0.2500605, 0.412555 ,1,2
42,Bidvest Wits,Maritzburg Utd,0.625563, 0.282767, 0.09167 ,1,0
43,Bidvest Wits,Orlando Pirates,0.386952, 0.26486250000000006, 0.3481855 ,1,0
44,Bidvest Wits,Polokwane,0.402063, 0.26803799999999994, 0.329899 ,1,0
45,Bidvest Wits,Supersport Utd,0.5060875, 0.28319849999999996, 0.210714 ,1,0
46,Black Leopards,Amazulu,0.336982, 0.3267315, 0.3362865 ,1,0
47,Black Leopards,Baroka,0.372743, 0.344203, 0.283054 ,1,0
48,Black Leopards,Bidvest Wits,0.2354415, 0.26660500000000004, 0.4979535 ,0,2
49,Black Leopards,Bloem Celtic,0.284479, 0.29842900000000006, 0.417092 ,0,2
50,Black Leopards,Cape Town City,0.2661915, 0.285944, 0.4478645 ,0,2
51,Black Leopards,Chippa Utd.,0.353784, 0.3353525, 0.3108635 ,1,0
52,Black Leopards,Free State Stars,0.378062, 0.3464325, 0.2755055 ,1,0
53,Black Leopards,Golden Arrows,0.353427, 0.33566200000000007, 0.310911 ,1,0
54,Black Leopards,Highlands,0.3346195, 0.3267939999999999, 0.3385865 ,0,1
55,Black Leopards,Kaizer Chiefs,0.2359095, 0.2659, 0.4981905 ,0,1
56,Black Leopards,Mamelodi Sundowns,0.2278535, 0.26140550000000007, 0.510741 ,0,1
57,Black Leopards,Maritzburg Utd,0.48492, 0.38355249999999996, 0.1315275 ,1,0
58,Black Leopards,Orlando Pirates,0.2695945, 0.28863550000000004, 0.44177 ,0,1
59,Black Leopards,Polokwane,0.2816495, 0.2972025, 0.421148 ,0,1
60,Black Leopards,Supersport Utd,0.3732835, 0.34359300000000004, 0.2831235 ,1,0
61,Bloem Celtic,Amazulu,0.4173705, 0.298066, 0.2845635 ,1,0
62,Bloem Celtic,Baroka,0.456892, 0.3063909999999999, 0.236717 ,1,0
63,Bloem Celtic,Bidvest Wits,0.3035835, 0.25904, 0.4373765 ,1,2
64,Bloem Celtic,Black Leopards,0.416924, 0.29858549999999995, 0.2844905 ,1,0
65,Bloem Celtic,Cape Town City,0.337266, 0.2738284999999999, 0.3889055 ,1,2
66,Bloem Celtic,Chippa Utd.,0.4357165, 0.30245149999999993, 0.261832 ,1,0
67,Bloem Celtic,Free State Stars,0.4626435, 0.308207, 0.2291495 ,1,0
68,Bloem Celtic,Golden Arrows,0.435446, 0.3026465, 0.2619075 ,1,0
69,Bloem Celtic,Highlands,0.4156195, 0.29742999999999997, 0.2869505 ,1,0
70,Bloem Celtic,Kaizer Chiefs,0.30347, 0.2593835, 0.4371465 ,1,2
71,Bloem Celtic,Mamelodi Sundowns,0.295257, 0.2557555, 0.4489875 ,1,2
72,Bloem Celtic,Maritzburg Utd,0.575885, 0.3188945, 0.1052205 ,1,0
73,Bloem Celtic,Orlando Pirates,0.3419265, 0.275505, 0.3825685 ,1,2
74,Bloem Celtic,Polokwane,0.355814, 0.2801989999999999, 0.363987 ,1,2
75,Bloem Celtic,Supersport Utd,0.457129, 0.3064945, 0.2363765 ,1,0
76,Cape Town City,Amazulu,0.645103, 0.2005975, 0.1542995 ,1,0
77,Cape Town City,Baroka,0.68359, 0.19324799999999998, 0.123162 ,2,0
